"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000244050 (pp) 9606.ENSP00000332973","false","pp","9606.ENSP00000244050 (pp) 9606.ENSP00000332973","0.068",,,"0.095",,,"0.994","0.994"
"pp","9606.ENSP00000256442 (pp) 9606.ENSP00000391090","false","pp","9606.ENSP00000256442 (pp) 9606.ENSP00000391090","0.449",,,"0.069",,,"0.935","0.885"
"pp","9606.ENSP00000256442 (pp) 9606.ENSP00000384849","false","pp","9606.ENSP00000256442 (pp) 9606.ENSP00000384849",,,,"0.867",,,"0.977","0.837"
"pp","9606.ENSP00000256442 (pp) 9606.ENSP00000342307","false","pp","9606.ENSP00000256442 (pp) 9606.ENSP00000342307","0.684",,"0.5","0.536",,,"0.988","0.863"
"pp","9606.ENSP00000256442 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000256442 (pp) 9606.ENSP00000269305","0.095",,,"0.053",,,"0.914","0.909"
"pp","9606.ENSP00000256442 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000256442 (pp) 9606.ENSP00000378699","0.895",,"0.9","0.999",,,"0.999","0.999"
"pp","9606.ENSP00000256474 (pp) 9606.ENSP00000350512","false","pp","9606.ENSP00000256474 (pp) 9606.ENSP00000350512","0.049",,,"0.948",,,"0.958","0.22"
"pp","9606.ENSP00000256474 (pp) 9606.ENSP00000263377","false","pp","9606.ENSP00000256474 (pp) 9606.ENSP00000263377","0.049",,,"0.926",,,"0.939","0.203"
"pp","9606.ENSP00000256474 (pp) 9606.ENSP00000346839","false","pp","9606.ENSP00000256474 (pp) 9606.ENSP00000346839",,,,"0.834",,,"0.927","0.579"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000264012","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000264012","0.255","0.061","0.54","0.292",,,"0.967","0.879"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000495360","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000495360","0.063",,"0.9","0.999",,,"0.999","0.999"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000304669","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000304669","0.05",,"0.9","0.858",,,"0.999","0.979"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000361021","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000361021","0.053",,,,,,"0.93","0.93"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000353475","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000353475","0.374",,,,,,"0.923","0.883"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000275493","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000275493","0.055",,,"0.816",,,"0.999","0.995"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000362680","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000362680","0.042",,,"0.752",,,"0.988","0.955"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000269141","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000269141",,"0.055","0.72",,,,"0.995","0.983"
"pp","9606.ENSP00000261769 (pp) 9606.ENSP00000317272","false","pp","9606.ENSP00000261769 (pp) 9606.ENSP00000317272","0.05",,,"0.311",,,"0.959","0.944"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000478887","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000478887","0.089",,"0.5","0.185",,,"0.908","0.784"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000384849","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000384849","0.105",,"0.9","0.997",,,"0.999","0.889"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000269305","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000269305",,,"0.4",,,,"0.926","0.883"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000267163","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000267163","0.189",,"0.9","0.863",,,"0.994","0.584"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000378699","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000378699","0.194",,,"0.813",,,"0.972","0.835"
"pp","9606.ENSP00000262643 (pp) 9606.ENSP00000429089","false","pp","9606.ENSP00000262643 (pp) 9606.ENSP00000429089","0.148","0.076","0.9",,,,"0.956","0.518"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000375978","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000375978","0.067",,"0.36",,,,"0.92","0.877"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000325863","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000325863","0.075",,"0.5","0.292",,,"0.902","0.737"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000355759","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000355759","0.095",,,"0.867",,,"0.999","0.996"
"pp","9606.ENSP00000262887 (pp) 9606.ENSP00000371475","false","pp","9606.ENSP00000262887 (pp) 9606.ENSP00000371475","0.067",,"0.36","0.439",,,"0.907","0.756"
